Src IP,Dest IP,Protocol,Count,Unsecured
10.40.34.191,169.253.125.212,TCP,1,FALSE
10.40.34.190,169.253.125.212,ARP,1,FALSE
10.40.32.115,169.253.125.212,HTTP,1,TRUE
10.40.34.190,169.253.125.212,HTTP,1,TRUE
10.40.32.115,169.253.125.212,ARP,1,FALSE
10.40.34.243,169.253.125.212,ICMP,1,FALSE
10.40.32.113,169.253.125.212,HTTP,1,TRUE
10.40.32.113,169.253.125.212,NETBIOS-NAME,1,FALSE
10.40.34.194,169.253.125.212,HTTP,1,TRUE
10.40.34.194,169.253.125.212,TCP,1,FALSE
10.40.34.193,169.253.125.212,TCP,1,FALSE
10.40.34.142,169.253.125.212,ARP,1,FALSE
10.40.32.112,169.253.125.212,HTTP,1,TRUE
10.40.32.112,169.253.125.212,TCP,1,FALSE
10.40.34.138,169.253.125.212,HTTP,1,TRUE
10.40.34.193,169.253.125.212,ARP,1,FALSE
10.40.34.193,169.253.125.212,HTTP,1,TRUE
10.40.32.231,169.253.125.212,ARP,1,FALSE
10.40.34.56,169.253.125.212,ARP,1,FALSE
10.40.32.115,169.253.125.212,ARP,1,FALSE
10.40.32.115,169.253.125.212,HTTP,1,TRUE
10.40.32.136,169.253.125.212,ARP,1,FALSE
10.40.32.198,169.253.125.212,ARP,1,FALSE
10.40.34.238,169.253.125.212,ARP,1,FALSE
10.40.34.238,169.253.125.212,HTTP,1,TRUE
10.40.32.231,169.253.125.212,NETBIOS-NAME,1,FALSE
10.40.32.231,169.253.125.212,LANMAN,1,FALSE
10.40.32.149,169.253.125.212,HTTP,1,TRUE
10.40.32.134,169.253.125.212,ARP,1,FALSE
10.40.32.134,169.253.125.212,HTTP,1,TRUE
10.40.32.243,169.253.125.212,ARP,1,FALSE
10.40.32.149,169.253.125.212,ARP,1,FALSE
10.40.32.121,169.253.125.212,LANMAN,1,FALSE
10.40.32.105,169.253.125.212,LANMAN,1,FALSE
10.40.32.110,169.253.125.212,ARP,1,FALSE
10.40.32.110,169.253.125.212,HTTP,1,TRUE
10.40.32.165,169.253.125.212,ARP,1,FALSE
10.40.32.90,169.253.125.212,ARP,1,FALSE
10.40.32.90,169.253.125.212,HTTP,1,TRUE
10.40.34.160,169.253.125.212,ARP,1,FALSE
10.40.32.118,169.253.125.212,ARP,1,FALSE
10.40.32.151,169.253.125.212,ARP,1,FALSE
10.40.32.105,169.253.125.212,ARP,1,FALSE
10.40.32.105,169.253.125.212,HTTP,1,TRUE
10.40.34.253,169.253.125.212,ICMP,1,FALSE
10.253.253.231,169.253.125.212,HTTP,1,TRUE
10.253.253.231,169.253.125.212,ARP,1,FALSE
10.40.32.69,169.253.125.212,HTTP,1,TRUE
10.40.32.53,169.253.125.212,ARP,1,FALSE
10.40.32.53,169.253.125.212,HTTP,1,TRUE
10.40.32.53,169.253.125.212,TCP,1,FALSE
10.40.32.200,169.253.125.212,ARP,1,FALSE
10.49.199.162,169.253.125.212,HTTP,1,TRUE
10.49.199.162,169.253.125.212,LANMAN,1,FALSE
10.40.32.50,169.253.125.212,ARP,1,FALSE
10.40.32.208,169.253.125.212,ICMP,1,FALSE
10.40.32.200,169.253.125.212,ARP,1,FALSE
10.40.32.200,169.253.125.212,HTTP,1,TRUE
10.40.32.209,169.253.125.212,ARP,1,FALSE
10.40.32.209,169.253.125.212,HTTP,1,TRUE
10.29.12.59,169.253.125.212,SSL,1,TRUE
10.29.12.23,169.253.125.212,ICMP,1,FALSE
10.29.12.23,169.253.125.212,RPC,1,FALSE
10.29.12.23,169.253.125.212,TCP,1,FALSE
10.49.198.200,169.253.125.212,GE-EGD-CMP,1,FALSE
10.40.32.186,169.253.125.212,ARP,1,FALSE
10.40.32.186,169.253.125.212,HTTP,1,TRUE
10.40.32.183,169.253.125.212,HTTP,1,TRUE
10.29.12.10,169.253.125.212,ICMP,1,FALSE
10.49.198.200,169.253.125.212,ICMP,1,FALSE
10.40.32.69,169.253.125.212,ARP,1,FALSE
10.40.32.51,169.253.125.212,ARP,1,FALSE
10.40.32.30,169.253.125.212,ARP,1,FALSE
10.40.34.163,169.253.125.212,ARP,1,FALSE
10.40.34.163,169.253.125.212,HTTP,1,TRUE
10.40.32.66,169.253.125.212,ARP,1,FALSE
10.40.32.66,169.253.125.212,HTTP,1,TRUE
10.49.198.200,169.253.125.212,TCP,1,FALSE
10.40.34.243,169.253.128.244,ICMPv6,2,FALSE
10.40.32.113,169.253.128.244,ARP,2,FALSE
